                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2595,                 4.0466,                 1.2764,                0.76185,                0.06888,                 0.0608,                0.03295,                 2.2596,                 2.9891,                 1.1503,             0.00019528,             0.00019528,             0.00019528
                      2,                 2.3181,                 3.0261,                 1.1632,                 0.6231,                0.09929,                0.08423,                0.04504,                 2.2765,                 2.5237,                 1.1099,              0.0003887,              0.0003887,              0.0003887
                      3,                 2.2744,                    2.7,                 1.1508,                0.41657,                0.11229,                 0.1216,                0.06322,                 2.1237,                 2.2429,                 1.1027,             0.00057953,             0.00057953,             0.00057953
                      4,                 2.2062,                  2.501,                 1.1399,                0.49354,                0.13156,                0.12782,                0.07077,                 2.0721,                 2.1429,                 1.1001,             0.00057636,             0.00057636,             0.00057636
                      5,                 2.1776,                  2.361,                 1.1185,                 0.1125,                0.23709,                0.14159,                0.08272,                 2.0139,                 2.0876,                 1.0868,             0.00057636,             0.00057636,             0.00057636
                      6,                 2.1611,                 2.2454,                 1.0977,                0.34934,                0.19637,                0.14333,                0.08281,                  2.006,                 1.9858,                 1.0819,             0.00057248,             0.00057248,             0.00057248
                      7,                 2.0837,                 2.1579,                 1.0926,                0.14895,                 0.2618,                0.18086,                0.11068,                 2.0014,                 1.9622,                 1.0701,              0.0005686,              0.0005686,              0.0005686
                      8,                 2.0517,                 2.1005,                 1.0802,                0.29991,                0.22922,                0.18218,                0.11129,                  1.994,                 1.9172,                 1.0656,             0.00056472,             0.00056472,             0.00056472
                      9,                 2.0365,                 2.0249,                 1.0779,                0.59329,                0.26443,                0.21559,                0.13251,                 1.9542,                 1.8156,                 1.0589,             0.00056083,             0.00056083,             0.00056083
                     10,                 2.0425,                 2.0168,                 1.0739,                 0.5609,                 0.2446,                0.21852,                0.13107,                 1.9492,                 1.7843,                 1.0517,             0.00055695,             0.00055695,             0.00055695
                     11,                 2.0234,                  1.951,                 1.0705,                0.48804,                0.27675,                0.24959,                0.16061,                 1.9035,                 1.7635,                 1.0514,             0.00055307,             0.00055307,             0.00055307
                     12,                 1.9873,                 1.9229,                 1.0596,                  0.579,                 0.2761,                0.25618,                0.16287,                 1.8811,                 1.7248,                 1.0382,             0.00054919,             0.00054919,             0.00054919
                     13,                 1.9375,                 1.8728,                 1.0602,                0.60829,                0.28438,                0.27262,                0.17383,                 1.9148,                 1.7218,                 1.0538,             0.00054531,             0.00054531,             0.00054531
                     14,                 1.9694,                 1.8718,                 1.0558,                0.63545,                0.28794,                0.29242,                0.18729,                 1.8694,                  1.666,                 1.0401,             0.00054143,             0.00054143,             0.00054143
                     15,                 1.9454,                 1.8179,                 1.0571,                0.62346,                0.28145,                0.29135,                0.18482,                 1.8382,                 1.6796,                 1.0308,             0.00053755,             0.00053755,             0.00053755
                     16,                 1.9628,                 1.8365,                 1.0543,                0.59595,                0.31629,                0.31594,                0.20519,                 1.8265,                  1.635,                 1.0346,             0.00053367,             0.00053367,             0.00053367
                     17,                 1.9185,                 1.7817,                 1.0444,                0.65967,                0.29961,                0.31756,                0.19448,                 1.8882,                 1.6446,                 1.0342,             0.00052979,             0.00052979,             0.00052979
                     18,                 1.9149,                  1.751,                 1.0469,                0.65333,                0.29144,                0.32488,                0.19737,                  1.856,                 1.6722,                  1.038,             0.00052591,             0.00052591,             0.00052591
                     19,                  1.913,                 1.7267,                 1.0422,                0.47645,                0.37058,                0.34425,                 0.2226,                 1.8006,                 1.5918,                 1.0192,             0.00052203,             0.00052203,             0.00052203
