                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 1.8986,                 1.7072,                 1.0354,                0.55735,                0.33902,                0.35229,                0.22435,                 1.8896,                 1.6159,                 1.0356,             0.00051815,             0.00051815,             0.00051815
                     21,                 1.9167,                   1.71,                  1.037,                0.46173,                 0.3546,                0.34861,                0.22522,                 1.8446,                 1.5743,                  1.028,             0.00051426,             0.00051426,             0.00051426
                     22,                 1.8579,                 1.6571,                 1.0294,                0.59939,                 0.3428,                0.36981,                0.24373,                 1.7954,                 1.5445,                 1.0178,             0.00051038,             0.00051038,             0.00051038
                     23,                 1.8484,                 1.6551,                  1.025,                0.62522,                0.35537,                0.37009,                0.23603,                 1.8099,                 1.5608,                 1.0239,              0.0005065,              0.0005065,              0.0005065
                     24,                 1.8776,                 1.6465,                 1.0287,                0.58062,                0.34207,                0.35797,                0.22831,                 1.8622,                  1.556,                 1.0322,             0.00050262,             0.00050262,             0.00050262
                     25,                 1.8658,                 1.6211,                 1.0273,                0.65946,                0.32852,                0.38425,                0.24925,                 1.8123,                 1.5294,                  1.022,             0.00049874,             0.00049874,             0.00049874
                     26,                 1.8526,                 1.6125,                 1.0236,                0.61947,                0.36135,                0.39977,                0.26686,                 1.7659,                 1.4951,                 1.0166,             0.00049486,             0.00049486,             0.00049486
                     27,                 1.8444,                 1.6023,                 1.0225,                0.51593,                 0.3779,                0.40414,                0.26544,                 1.7716,                 1.5323,                 1.0082,             0.00049098,             0.00049098,             0.00049098
                     28,                  1.852,                 1.6029,                 1.0211,                0.67707,                0.36753,                0.40695,                0.26408,                 1.7815,                 1.4729,                 1.0145,              0.0004871,              0.0004871,              0.0004871
                     29,                 1.8367,                  1.592,                 1.0195,                0.64646,                0.34301,                0.40557,                0.26761,                 1.7463,                 1.4965,                 1.0152,             0.00048322,             0.00048322,             0.00048322
                     30,                 1.8095,                 1.5341,                 1.0083,                0.48461,                0.40249,                0.41068,                  0.269,                 1.7648,                 1.4513,                 1.0165,             0.00047934,             0.00047934,             0.00047934
                     31,                 1.8187,                   1.55,                 1.0118,                 0.5471,                 0.4075,                0.43707,                0.28334,                 1.7757,                 1.4559,                 1.0117,             0.00047546,             0.00047546,             0.00047546
                     32,                  1.822,                 1.5245,                 1.0109,                0.62986,                0.39227,                0.43944,                0.28673,                 1.7519,                 1.4307,                 1.0134,             0.00047158,             0.00047158,             0.00047158
                     33,                 1.7938,                 1.5086,                 1.0087,                0.64297,                0.39689,                0.44343,                0.28843,                 1.7749,                 1.4064,                 1.0056,              0.0004677,              0.0004677,              0.0004677
                     34,                 1.8157,                 1.5148,                  1.014,                0.60673,                 0.4115,                0.44424,                0.29145,                   1.74,                   1.41,                 1.0089,             0.00046381,             0.00046381,             0.00046381
                     35,                 1.8011,                 1.4992,                 1.0114,                0.48186,                0.43345,                0.45834,                0.30878,                 1.7459,                 1.3924,                0.99819,             0.00045993,             0.00045993,             0.00045993
                     36,                 1.8024,                 1.5009,                 1.0023,                0.56365,                0.44866,                0.46851,                0.31984,                 1.7109,                 1.3764,                0.99694,             0.00045605,             0.00045605,             0.00045605
                     37,                 1.7527,                 1.4474,                 1.0022,                0.64692,                0.43613,                0.47945,                0.32374,                 1.7277,                 1.3563,                0.99647,             0.00045217,             0.00045217,             0.00045217
                     38,                 1.7704,                 1.4566,                 1.0013,                0.58385,                0.45311,                0.48413,                0.31971,                 1.7461,                 1.3723,                 1.0047,             0.00044829,             0.00044829,             0.00044829
                     39,                 1.7637,                 1.4445,                 1.0015,                0.53777,                0.46418,                0.47977,                0.32903,                 1.7037,                 1.3607,                0.99725,             0.00044441,             0.00044441,             0.00044441
                     40,                 1.7675,                 1.4267,                 1.0035,                0.58879,                0.46743,                 0.4953,                 0.3341,                 1.7082,                 1.3777,                0.99273,             0.00044053,             0.00044053,             0.00044053
                     41,                  1.741,                 1.4225,                0.99439,                0.56091,                0.47174,                0.49047,                0.32995,                 1.7092,                 1.3659,                0.99237,             0.00043665,             0.00043665,             0.00043665
                     42,                 1.7437,                 1.4106,                0.99711,                0.54542,                0.47958,                0.50268,                0.34205,                 1.7022,                 1.3497,                0.99655,             0.00043277,             0.00043277,             0.00043277
                     43,                 1.7772,                 1.4298,                 0.9962,                0.65856,                0.45771,                0.50592,                0.34331,                 1.7067,                 1.3396,                0.99231,             0.00042889,             0.00042889,             0.00042889
                     44,                 1.7471,                 1.4045,                 0.9913,                0.60715,                0.47477,                  0.511,                0.34616,                 1.6932,                 1.3465,                0.99295,             0.00042501,             0.00042501,             0.00042501
                     45,                 1.7264,                 1.3861,                0.99079,                0.61347,                0.48029,                 0.5124,                0.34843,                 1.6997,                  1.321,                0.99249,             0.00042113,             0.00042113,             0.00042113
                     46,                   1.73,                 1.3946,                 0.9869,                 0.5796,                0.48268,                0.51855,                0.34526,                 1.7177,                 1.3355,                0.99651,             0.00041724,             0.00041724,             0.00041724
                     47,                 1.7259,                 1.3603,                0.98517,                0.63489,                0.46408,                 0.5157,                0.34728,                 1.6858,                 1.3163,                0.99131,             0.00041336,             0.00041336,             0.00041336
                     48,                 1.7379,                 1.3829,                0.99153,                0.68342,                0.45433,                0.51981,                0.35503,                 1.6865,                 1.3018,                0.98844,             0.00040948,             0.00040948,             0.00040948
                     49,                 1.7204,                 1.3565,                0.98131,                0.55281,                0.49448,                0.51658,                0.34739,                 1.6896,                 1.3082,                0.99096,              0.0004056,              0.0004056,              0.0004056
                     50,                 1.7044,                 1.3437,                0.98143,                0.59056,                0.49062,                0.51687,                0.35361,                 1.6785,                 1.2856,                0.98737,             0.00040172,             0.00040172,             0.00040172
                     51,                 1.7053,                 1.3281,                0.98675,                0.61653,                0.49247,                0.53141,                 0.3659,                 1.6652,                 1.2606,                0.98248,             0.00039784,             0.00039784,             0.00039784
                     52,                 1.7413,                 1.3425,                0.98593,                 0.6347,                0.49539,                0.52425,                0.35645,                 1.6925,                  1.282,                0.98555,             0.00039396,             0.00039396,             0.00039396
                     53,                 1.7101,                 1.3199,                0.97811,                0.64158,                0.48436,                0.54695,                 0.3679,                  1.678,                 1.2558,                0.98477,             0.00039008,             0.00039008,             0.00039008
                     54,                 1.7109,                 1.3139,                0.98257,                0.66579,                0.48543,                0.54217,                0.36742,                 1.6871,                 1.2811,                0.98828,              0.0003862,              0.0003862,              0.0003862
                     55,                  1.704,                 1.3054,                  0.983,                0.64004,                0.52598,                0.56018,                0.36936,                 1.6682,                 1.2469,                0.98621,             0.00038232,             0.00038232,             0.00038232
                     56,                 1.7136,                 1.3083,                0.97483,                0.64386,                0.49389,                0.54995,                0.37693,                 1.6581,                 1.2476,                0.98357,             0.00037844,             0.00037844,             0.00037844
                     57,                 1.7232,                 1.3071,                0.98661,                0.66199,                0.50007,                0.55643,                0.37093,                 1.6901,                 1.2627,                0.99176,             0.00037456,             0.00037456,             0.00037456
                     58,                 1.7255,                 1.3124,                0.98028,                0.62164,                0.55021,                0.56644,                0.38068,                 1.6633,                 1.2345,                0.97992,             0.00037068,             0.00037068,             0.00037068
                     59,                 1.7017,                 1.2894,                0.97643,                0.57648,                0.57476,                0.58175,                0.40008,                 1.6455,                 1.2301,                0.97618,             0.00036679,             0.00036679,             0.00036679
                     60,                 1.7007,                 1.2705,                0.97445,                0.58236,                0.55742,                0.57108,                0.39032,                 1.6631,                 1.2482,                  0.979,             0.00036291,             0.00036291,             0.00036291
                     61,                 1.6901,                 1.2666,                0.97307,                0.65775,                0.53052,                0.57439,                0.39157,                 1.6696,                 1.2384,                0.98254,             0.00035903,             0.00035903,             0.00035903
                     62,                 1.6657,                 1.2685,                0.97263,                0.64017,                0.56121,                0.57966,                 0.3986,                 1.6521,                 1.2145,                0.98201,             0.00035515,             0.00035515,             0.00035515
                     63,                 1.6511,                 1.2478,                0.97264,                0.63602,                0.56414,                0.59286,                0.40841,                  1.653,                 1.2101,                0.97991,             0.00035127,             0.00035127,             0.00035127
                     64,                 1.6732,                 1.2623,                0.97316,                0.68151,                0.51599,                0.57513,                0.39163,                 1.6517,                 1.2164,                 0.9786,             0.00034739,             0.00034739,             0.00034739
                     65,                 1.6876,                 1.2507,                0.96977,                0.67925,                0.53134,                0.59079,                0.40678,                 1.6567,                  1.219,                0.98181,             0.00034351,             0.00034351,             0.00034351
                     66,                 1.6704,                  1.242,                0.96927,                0.69363,                0.52878,                0.58713,                 0.4033,                 1.6424,                 1.1963,                0.98018,             0.00033963,             0.00033963,             0.00033963
                     67,                 1.6453,                 1.2234,                0.96464,                 0.6941,                0.52655,                0.58472,                0.40079,                 1.6332,                 1.1966,                0.97419,             0.00033575,             0.00033575,             0.00033575
                     68,                 1.6521,                 1.2275,                0.96794,                0.70734,                0.53997,                0.58749,                0.40491,                 1.6476,                 1.2197,                0.98064,             0.00033187,             0.00033187,             0.00033187
                     69,                  1.659,                  1.226,                0.96962,                0.74021,                 0.5331,                0.58975,                0.40228,                 1.6448,                 1.1906,                0.97582,             0.00032799,             0.00032799,             0.00032799
                     70,                  1.627,                  1.209,                0.96753,                0.72937,                0.54062,                0.60685,                0.41208,                 1.6305,                 1.1841,                0.97426,             0.00032411,             0.00032411,             0.00032411
                     71,                 1.6483,                 1.2223,                0.96471,                 0.6781,                0.54827,                 0.5982,                0.40948,                 1.6362,                 1.2057,                0.97612,             0.00032022,             0.00032022,             0.00032022
                     72,                 1.6523,                 1.2165,                0.97011,                0.75168,                0.53024,                0.59808,                 0.4045,                 1.6474,                 1.2053,                0.97782,             0.00031634,             0.00031634,             0.00031634
                     73,                 1.6313,                 1.2144,                0.96039,                0.74311,                0.52962,                0.60436,                0.41171,                 1.6349,                  1.177,                0.97457,             0.00031246,             0.00031246,             0.00031246
                     74,                 1.6362,                 1.2001,                0.95855,                0.73958,                0.53981,                0.61503,                0.42123,                 1.6364,                 1.1758,                0.97997,             0.00030858,             0.00030858,             0.00030858
                     75,                 1.6409,                 1.2083,                0.96182,                0.72441,                0.55509,                0.61506,                0.42163,                  1.632,                 1.1815,                0.97776,              0.0003047,              0.0003047,              0.0003047
                     76,                 1.6234,                 1.1889,                0.96163,                0.69807,                0.55359,                0.61697,                0.42824,                 1.6194,                 1.1662,                0.97224,             0.00030082,             0.00030082,             0.00030082
                     77,                 1.6237,                  1.192,                0.96389,                0.73059,                0.55233,                0.61636,                0.42606,                 1.6208,                 1.1708,                0.97151,             0.00029694,             0.00029694,             0.00029694
                     78,                  1.647,                 1.1939,                0.95959,                0.68873,                0.56249,                 0.6065,                 0.4057,                 1.6795,                 1.1812,                0.97875,             0.00029306,             0.00029306,             0.00029306
                     79,                 1.6493,                  1.188,                0.95623,                0.66161,                0.57622,                0.62727,                0.43192,                 1.6188,                 1.1458,                 0.9707,             0.00028918,             0.00028918,             0.00028918
                     80,                 1.6638,                 1.1997,                0.96891,                0.68507,                0.56816,                0.62318,                 0.4314,                 1.6152,                 1.1473,                0.96994,              0.0002853,              0.0002853,              0.0002853
                     81,                 1.6135,                 1.1645,                0.95315,                0.68137,                 0.5618,                0.61605,                0.42297,                 1.6179,                 1.1505,                0.96903,             0.00028142,             0.00028142,             0.00028142
                     82,                 1.6381,                 1.1927,                0.95268,                0.70781,                0.56256,                0.62582,                0.43121,                 1.6068,                 1.1418,                0.96871,             0.00027754,             0.00027754,             0.00027754
                     83,                 1.6059,                 1.1574,                0.95672,                0.73325,                0.54844,                0.62185,                0.42949,                 1.6009,                 1.1493,                0.96552,             0.00027366,             0.00027366,             0.00027366
                     84,                 1.6297,                 1.1759,                0.95919,                0.68089,                0.58409,                0.62491,                0.42811,                 1.6056,                 1.1544,                0.96702,             0.00026977,             0.00026977,             0.00026977
                     85,                 1.6151,                 1.1541,                0.95535,                  0.687,                0.58289,                0.62069,                0.43033,                 1.6105,                 1.1455,                  0.968,             0.00026589,             0.00026589,             0.00026589
                     86,                 1.6027,                 1.1485,                0.95972,                0.72742,                0.56758,                0.63785,                0.43856,                  1.614,                 1.1203,                0.97198,             0.00026201,             0.00026201,             0.00026201
                     87,                 1.6075,                 1.1468,                0.95384,                0.75104,                0.57522,                0.63523,                 0.4368,                 1.6021,                 1.1187,                0.96824,             0.00025813,             0.00025813,             0.00025813
                     88,                 1.6145,                 1.1506,                0.95488,                0.70562,                0.58026,                0.63412,                0.43614,                 1.6233,                 1.1457,                0.97274,             0.00025425,             0.00025425,             0.00025425
                     89,                 1.6095,                 1.1588,                0.95214,                0.74271,                0.58296,                0.63961,                0.44178,                 1.5913,                 1.1241,                0.96545,             0.00025037,             0.00025037,             0.00025037
                     90,                 1.5892,                 1.1317,                0.95106,                0.72946,                0.56191,                0.63403,                0.43262,                 1.5977,                 1.1241,                 0.9627,             0.00024649,             0.00024649,             0.00024649
                     91,                 1.5958,                 1.1381,                0.95018,                0.75754,                0.57194,                0.64583,                0.44911,                 1.5828,                 1.0991,                0.96143,             0.00024261,             0.00024261,             0.00024261
                     92,                 1.5813,                  1.121,                0.95012,                0.70951,                0.59142,                0.63757,                0.44296,                 1.6028,                 1.1201,                0.96917,             0.00023873,             0.00023873,             0.00023873
                     93,                 1.5728,                 1.1257,                0.94947,                0.73153,                0.58635,                0.64341,                 0.4434,                 1.5902,                 1.1076,                0.96485,             0.00023485,             0.00023485,             0.00023485
                     94,                 1.5775,                 1.1197,                0.94902,                0.77581,                0.58546,                0.64894,                0.44903,                 1.6006,                 1.1171,                0.96427,             0.00023097,             0.00023097,             0.00023097
                     95,                 1.5668,                 1.1096,                0.94623,                 0.7692,                0.58217,                0.65108,                0.46046,                 1.5862,                 1.1084,                0.96365,             0.00022709,             0.00022709,             0.00022709
                     96,                 1.5953,                 1.1239,                0.95614,                0.69281,                0.60961,                0.64965,                0.44459,                 1.6021,                   1.11,                0.96455,              0.0002232,              0.0002232,              0.0002232
                     97,                 1.6025,                 1.1157,                0.95039,                0.77987,                 0.5657,                 0.6522,                 0.4589,                 1.5748,                 1.1016,                0.95862,             0.00021932,             0.00021932,             0.00021932
                     98,                 1.5696,                  1.104,                0.95129,                0.75558,                 0.5996,                0.65887,                0.45462,                 1.5867,                 1.1048,                0.96083,             0.00021544,             0.00021544,             0.00021544
                     99,                 1.5653,                 1.1127,                0.94854,                0.72146,                0.60699,                0.65324,                0.45219,                  1.587,                 1.0877,                0.96122,             0.00021156,             0.00021156,             0.00021156
                    100,                 1.5687,                 1.1034,                0.94992,                0.76053,                 0.5838,                0.65077,                0.45241,                 1.5872,                 1.0928,                0.96101,             0.00020768,             0.00020768,             0.00020768
                    101,                 1.5832,                 1.1098,                0.94895,                0.74025,                0.59258,                0.65517,                0.46346,                 1.5656,                 1.0933,                0.95694,              0.0002038,              0.0002038,              0.0002038
                    102,                 1.5677,                 1.0977,                 0.9461,                0.79307,                 0.5793,                0.66105,                0.46403,                 1.5702,                 1.0927,                0.95591,             0.00019992,             0.00019992,             0.00019992
                    103,                 1.5624,                 1.0939,                0.94557,                 0.7677,                0.60032,                0.66782,                0.47061,                 1.5677,                 1.0922,                0.95753,             0.00019604,             0.00019604,             0.00019604
                    104,                 1.5565,                 1.0931,                0.94524,                0.77457,                0.59562,                0.66826,                 0.4669,                  1.573,                   1.09,                 0.9569,             0.00019216,             0.00019216,             0.00019216
                    105,                 1.5714,                 1.1017,                0.94717,                0.75871,                0.60461,                 0.6602,                0.45409,                 1.5772,                 1.0822,                0.96038,             0.00018828,             0.00018828,             0.00018828
                    106,                 1.5472,                 1.0787,                0.94447,                0.75318,                0.59675,                0.66719,                0.46283,                 1.5732,                 1.0934,                0.95895,              0.0001844,              0.0001844,              0.0001844
                    107,                 1.5592,                  1.083,                0.94917,                0.76247,                0.58582,                0.66578,                0.46958,                 1.5651,                 1.0729,                0.95858,             0.00018052,             0.00018052,             0.00018052
                    108,                 1.5471,                 1.0784,                0.94206,                0.75445,                0.59816,                0.66875,                0.46555,                 1.5812,                 1.0733,                 0.9582,             0.00017664,             0.00017664,             0.00017664
                    109,                 1.5632,                 1.0925,                0.94356,                0.76458,                0.60247,                0.66633,                0.46793,                 1.5621,                 1.0716,                0.95577,             0.00017275,             0.00017275,             0.00017275
                    110,                 1.5577,                 1.0961,                0.94096,                0.74694,                0.60892,                0.67157,                0.46992,                 1.5723,                 1.0774,                0.95926,             0.00016887,             0.00016887,             0.00016887
                    111,                  1.566,                 1.0866,                0.94074,                0.81109,                0.58956,                0.67266,                0.47687,                 1.5549,                 1.0573,                0.95406,             0.00016499,             0.00016499,             0.00016499
                    112,                 1.5552,                 1.0813,                0.94314,                0.78875,                0.59798,                0.66946,                0.46806,                 1.5679,                 1.0651,                0.95788,             0.00016111,             0.00016111,             0.00016111
                    113,                 1.5497,                 1.0752,                0.94323,                0.76795,                0.61148,                0.67616,                0.47279,                 1.5505,                 1.0571,                0.95333,             0.00015723,             0.00015723,             0.00015723
                    114,                 1.5408,                 1.0666,                0.94167,                 0.7917,                0.60421,                 0.6816,                0.47796,                 1.5586,                 1.0622,                0.95562,             0.00015335,             0.00015335,             0.00015335
                    115,                 1.5325,                 1.0604,                0.93985,                0.76128,                0.61358,                0.67325,                0.47139,                 1.5588,                 1.0648,                0.95341,             0.00014947,             0.00014947,             0.00014947
                    116,                 1.5303,                 1.0646,                0.93982,                0.79377,                0.59167,                0.67201,                0.47144,                 1.5603,                 1.0554,                 0.9553,             0.00014559,             0.00014559,             0.00014559
                    117,                 1.5577,                 1.0648,                 0.9403,                0.76805,                0.61318,                0.67987,                0.48052,                 1.5653,                  1.054,                0.95603,             0.00014171,             0.00014171,             0.00014171
                    118,                 1.5477,                 1.0656,                 0.9386,                0.79841,                0.59885,                0.68131,                0.48146,                 1.5559,                 1.0573,                0.95484,             0.00013783,             0.00013783,             0.00013783
                    119,                 1.5145,                 1.0389,                0.93807,                0.76232,                0.61177,                 0.6799,                0.48399,                 1.5456,                 1.0425,                0.95234,             0.00013395,             0.00013395,             0.00013395
                    120,                 1.5268,                 1.0496,                 0.9372,                0.73804,                0.61602,                0.67507,                0.47456,                 1.5546,                 1.0533,                0.95077,             0.00013007,             0.00013007,             0.00013007
                    121,                 1.5329,                 1.0574,                0.93527,                0.75016,                0.61179,                0.67831,                0.48396,                 1.5402,                 1.0495,                0.94905,             0.00012618,             0.00012618,             0.00012618
                    122,                 1.5354,                 1.0537,                 0.9352,                0.74776,                0.61961,                 0.6803,                0.48642,                 1.5524,                 1.0435,                0.95174,              0.0001223,              0.0001223,              0.0001223
                    123,                 1.5309,                 1.0419,                0.93211,                0.75815,                0.61682,                0.68284,                 0.4853,                 1.5527,                 1.0537,                0.95492,             0.00011842,             0.00011842,             0.00011842
                    124,                 1.5304,                 1.0457,                0.92995,                0.77559,                0.59603,                 0.6766,                0.47765,                  1.557,                 1.0577,                0.95385,             0.00011454,             0.00011454,             0.00011454
                    125,                 1.5255,                 1.0332,                0.93695,                0.79945,                0.58386,                0.67938,                 0.4828,                 1.5419,                 1.0474,                0.95184,             0.00011066,             0.00011066,             0.00011066
                    126,                 1.5265,                 1.0405,                0.93461,                0.79013,                0.60207,                0.68394,                0.48352,                 1.5403,                 1.0381,                0.95191,             0.00010678,             0.00010678,             0.00010678
                    127,                 1.5381,                 1.0365,                 0.9351,                0.79819,                0.60007,                0.68354,                0.48817,                 1.5389,                 1.0428,                0.95108,              0.0001029,              0.0001029,              0.0001029
                    128,                 1.5307,                 1.0326,                0.93212,                0.74915,                0.61647,                0.68377,                0.48305,                 1.5496,                 1.0454,                0.95145,             9.9019e-05,             9.9019e-05,             9.9019e-05
                    129,                 1.5388,                 1.0393,                0.93752,                0.78353,                0.60493,                 0.6879,                0.48831,                 1.5432,                 1.0359,                0.94932,             9.5138e-05,             9.5138e-05,             9.5138e-05
                    130,                 1.5173,                 1.0409,                0.93489,                0.78945,                0.60791,                0.68513,                0.48625,                 1.5419,                 1.0415,                0.95007,             9.1258e-05,             9.1258e-05,             9.1258e-05
                    131,                 1.5093,                 1.0296,                  0.934,                0.79872,                 0.6054,                0.68612,                0.48699,                 1.5393,                 1.0365,                0.94849,             8.7377e-05,             8.7377e-05,             8.7377e-05
                    132,                 1.5144,                 1.0343,                0.93044,                0.75013,                0.61719,                0.68591,                0.48951,                 1.5338,                 1.0336,                0.94867,             8.3496e-05,             8.3496e-05,             8.3496e-05
                    133,                 1.5207,                 1.0357,                0.92933,                0.73067,                0.62344,                0.68063,                 0.4835,                 1.5315,                  1.024,                0.94635,             7.9615e-05,             7.9615e-05,             7.9615e-05
                    134,                 1.5213,                 1.0279,                0.93323,                0.75482,                0.62149,                0.68623,                0.48997,                  1.525,                 1.0249,                0.94633,             7.5734e-05,             7.5734e-05,             7.5734e-05
                    135,                 1.5093,                 1.0352,                0.93153,                0.75237,                0.62576,                0.68946,                0.49121,                 1.5325,                 1.0271,                0.94612,             7.1854e-05,             7.1854e-05,             7.1854e-05
                    136,                 1.5143,                 1.0258,                0.93119,                0.77427,                 0.6113,                0.68859,                0.49138,                 1.5331,                 1.0328,                0.94699,             6.7973e-05,             6.7973e-05,             6.7973e-05
                    137,                 1.5341,                 1.0437,                0.93493,                0.74695,                0.63817,                0.68936,                0.49169,                 1.5382,                 1.0227,                0.94821,             6.4092e-05,             6.4092e-05,             6.4092e-05
                    138,                 1.5109,                 1.0254,                0.92991,                0.75087,                0.62646,                0.68617,                0.48761,                 1.5378,                 1.0278,                0.94988,             6.0211e-05,             6.0211e-05,             6.0211e-05
                    139,                 1.5265,                 1.0365,                0.93321,                 0.7601,                0.62955,                0.69313,                0.49044,                 1.5476,                 1.0225,                0.95023,              5.633e-05,              5.633e-05,              5.633e-05
                    140,                 1.5118,                 1.0282,                0.93008,                0.76119,                0.61439,                0.69003,                0.48596,                 1.5488,                 1.0264,                0.95128,              5.245e-05,              5.245e-05,              5.245e-05
                    141,                 1.5605,                 1.0589,                0.92898,                0.71279,                0.62994,                0.67902,                0.48014,                 1.5387,                 1.0505,                0.95303,             4.8569e-05,             4.8569e-05,             4.8569e-05
                    142,                 1.5454,                 1.0414,                0.93134,                0.71878,                0.63025,                 0.6795,                0.48162,                 1.5333,                 1.0533,                 0.9514,             4.4688e-05,             4.4688e-05,             4.4688e-05
                    143,                 1.5398,                 1.0345,                0.93114,                0.73109,                0.63094,                0.68223,                0.48429,                 1.5349,                 1.0474,                0.95126,             4.0807e-05,             4.0807e-05,             4.0807e-05
                    144,                 1.5354,                 1.0289,                0.92557,                0.74588,                0.62331,                0.67937,                0.47779,                 1.5532,                 1.0463,                0.95502,             3.6926e-05,             3.6926e-05,             3.6926e-05
                    145,                 1.5289,                  1.016,                0.91962,                0.78625,                0.60099,                 0.6798,                0.47882,                 1.5455,                 1.0451,                0.95319,             3.3046e-05,             3.3046e-05,             3.3046e-05
                    146,                 1.5377,                 1.0319,                0.92909,                0.75221,                0.61489,                0.67831,                0.48253,                 1.5317,                 1.0449,                0.95001,             2.9165e-05,             2.9165e-05,             2.9165e-05
                    147,                 1.5296,                 1.0205,                0.92479,                0.76245,                0.61365,                0.67755,                0.47508,                 1.5502,                  1.041,                0.95137,             2.5284e-05,             2.5284e-05,             2.5284e-05
                    148,                 1.5386,                 1.0223,                0.92842,                0.70471,                0.63886,                0.67439,                0.47789,                 1.5432,                 1.0417,                0.95265,             2.1403e-05,             2.1403e-05,             2.1403e-05
                    149,                 1.5094,                 1.0104,                 0.9211,                  0.738,                0.62396,                0.68082,                0.48416,                 1.5322,                 1.0389,                0.94886,             1.7522e-05,             1.7522e-05,             1.7522e-05
                    150,                 1.5383,                 1.0203,                0.92861,                0.74466,                 0.6211,                0.68158,                0.48216,                 1.5393,                 1.0389,                0.95095,             1.3642e-05,             1.3642e-05,             1.3642e-05
